order,value,url,scrape_date
1,Hurt ripples in wake of Indigenous Voice vote,,2023-10-15 12:42:37
2,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 12:42:37
3,Children among dead as convoy hit on Gaza evacuation route,,2023-10-15 12:42:37
4,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 12:42:37
5,US actress Piper Laurie dies at 91,,2023-10-15 12:42:37
6,Madonna's Celebration tour is a family affair,,2023-10-15 12:42:37
7,Afghanistan hit by third earthquake in a week,,2023-10-15 12:42:37
8,The volunteers giving dignity to Israel’s dead,,2023-10-15 12:42:37
9,Fury outpoints KSI in grudge match,,2023-10-15 12:42:37
10,"Kenya, China and a railway to nowhere",,2023-10-15 12:42:37
