order_var,value,url,scrape_date
1,Legal experts see uphill battle for Trump in fraud case,,2023-11-12 03:51:56
2,Pope fires Texan bishop after criticism of reforms,,2023-11-12 03:51:56
3,March against antisemitism breaks new ground in France,,2023-11-12 03:51:56
4,Iceland declares emergency over volcano threat,,2023-11-12 03:51:56
5,Gaza hospital crippled as fighting rages nearby,,2023-11-12 03:51:56
6,PM condemns violence on day of protests in London,,2023-11-12 03:51:56
7,How a budget airline took off on TikTok,,2023-11-12 03:51:56
8,Macron urges Israel to stop bombing babies in Gaza,,2023-11-12 03:51:56
9,Missing man died trapped between two fence panels,,2023-11-12 03:51:56
10,Mafia bust shows US-Italy crime links still strong,,2023-11-12 03:51:56
