order,value,url,scrape_date
1,Teacher killed in France school stabbing,,2023-10-13 17:18:50
2,How would an Israeli ground assault on Gaza unfold?,,2023-10-13 17:18:50
3,Rosenberg: Putin ready to benefit from Israel-Gaza war,,2023-10-13 17:18:50
4,Father saves daughter he hadn’t seen for six years from massacre,,2023-10-13 17:18:50
5,Pro-Palestinian demo broken up after French ban,,2023-10-13 17:18:50
6,Russia to build nuclear plant in Burkina Faso,,2023-10-13 17:18:50
7,Israel targets Hamas’s labyrinth of tunnels under Gaza,,2023-10-13 17:18:50
8,Three ways US Republican Speaker chaos ends,,2023-10-13 17:18:50
9,Seven die after migrant vehicle crashes in Germany,,2023-10-13 17:18:50
10,Microsoft completes biggest deal in gaming history,,2023-10-13 17:18:50
