order_var,value,url,scrape_date
1,The US is quietly arming Taiwan to the teeth,,2023-11-06 15:46:43
2,Barbra Streisand: I haven't had much fun in my life,,2023-11-06 15:46:43
3,Korean man attacks woman for 'being a feminist',,2023-11-06 15:46:43
4,Fashion firm Boohoo breaks ethical promises,,2023-11-06 15:46:43
5,Human skull found in Florida charity shop,,2023-11-06 15:46:43
6,Uganda leader hits back at US trade pact expulsion,,2023-11-06 15:46:43
7,Ukraine military under pressure over deadly strike,,2023-11-06 15:46:43
8,"Over 30,000lb of chicken nuggets recalled in US",,2023-11-06 15:46:43
9,Russian bombing of Kherson at record high - Ukraine,,2023-11-06 15:46:43
10,Why does France have military bases in Africa?,,2023-11-06 15:46:43
