order_var,value,url,scrape_date
1,The Crown final season splits critics,,2023-11-16 18:00:42
2,BBC goes inside Al-Shifa hospital with the Israeli army,,2023-11-16 18:00:42
3,Dog survives 10 weeks in wild beside dead owner,,2023-11-16 18:00:42
4,Russian artist gets 7 years for anti-war messages,,2023-11-16 18:00:42
5,Spain's Pedro Sánchez wins new term as PM,,2023-11-16 18:00:42
6,Finland to close some Russia border crossings - PM,,2023-11-16 18:00:42
7,Five things we learned from the Biden-Xi meeting,,2023-11-16 18:00:42
8,Dutch election promises new era and shake-up in politics,,2023-11-16 18:00:42
9,Cameron makes first official visit to Ukraine,,2023-11-16 18:00:42
10,Harry Styles buzz cut reveal lights up fan debate,,2023-11-16 18:00:42
