order_var,value,url,scrape_date
1,Antisemitic graffiti in Paris worries leaders,,2023-10-31 20:39:54
2,What China wants from Israel-Hamas war,,2023-10-31 20:39:54
3,US to remove four African countries from trade deal,,2023-10-31 20:39:54
4,Anti-war protesters disrupt US Senate hearing,,2023-10-31 20:39:54
5,Teen taken hostage by Hamas back home in Chicago,,2023-10-31 20:39:54
6,Friends stars 'devastated' by Matthew Perry's death,,2023-10-31 20:39:54
7,South Africa rugby champions get heroes' welcome,,2023-10-31 20:39:54
8,Paris police shoot woman at station after threats,,2023-10-31 20:39:54
9,"British Jews are 'full of fear, like I've never seen before'",,2023-10-31 20:39:54
10,'Sometimes from behind the camera I just stand and cry',,2023-10-31 20:39:54
