order,value,url,scrape_date
1,Ukraine uses US-supplied ATACMS for the first time,,2023-10-17 19:47:02
2,Police shoot dead Brussels attacker who killed Swedes,,2023-10-17 19:47:02
3,Exonerated man shot and killed in traffic stop,,2023-10-17 19:47:02
4,Family seeks answers after Israel kidnap live-stream horror,,2023-10-17 19:47:02
5,Ex-wife of IS 'Beatle' speaks out for first time,,2023-10-17 19:47:02
6,Dozens killed as Israel strikes Gaza refuge areas,,2023-10-17 19:47:02
7,Nigeria burns $1.4m-worth of pangolin scales,,2023-10-17 19:47:02
8,Apple boss makes surprise China visit,,2023-10-17 19:47:02
9,Belt and Road: Is China's trillion-dollar gamble worth it?,,2023-10-17 19:47:02
10,"Last words of knifed US Muslim boy: 'Mom, I'm fine'",,2023-10-17 19:47:02
