order,value,url,scrape_date
1,Flintoff agrees compensation over Top Gear crash,,2023-10-14 10:20:31
2,BBC journalists held at gunpoint by Israeli police,,2023-10-14 10:20:31
3,"'Oh god, they're here': Hamas massacre captured on Israeli mothers' WhatsApp group",,2023-10-14 10:20:31
4,Trump-backed Jim Jordan chosen as Speaker nominee,,2023-10-14 10:20:31
5,Rosenberg: Putin ready to benefit from Israel-Gaza war,,2023-10-14 10:20:31
6,Michael Caine confirms he has retired from acting,,2023-10-14 10:20:31
7,"Kenya, China and a railway to nowhere",,2023-10-14 10:20:31
8,Could an Israeli ground invasion of Gaza meet its aims?,,2023-10-14 10:20:31
9,Treacherous ground for US politicians on Israel-Gaza,,2023-10-14 10:20:31
10,Bank boss warns world facing 'most dangerous time',,2023-10-14 10:20:31
