order,value,url,scrape_date
1,House in disarray as resistance hardens to Jordan,,2023-10-18 03:33:14
2,Ukraine uses US long-range missiles for the first time,,2023-10-18 03:33:14
3,CIA informant channel hijacked through Twitter bug,,2023-10-18 03:33:14
4,Exonerated man shot and killed in traffic stop,,2023-10-18 03:33:14
5,Britney Spears says in memoir she had abortion,,2023-10-18 03:33:14
6,Police shoot dead Brussels attacker who killed Swedes,,2023-10-18 03:33:14
7,Why Egypt is reluctant to open crossing with Gaza,,2023-10-18 03:33:14
8,Sweden investigating damage to Baltic undersea cable,,2023-10-18 03:33:14
9,Alec Baldwin could face new charge in Rust shooting,,2023-10-18 03:33:14
10,Ex-wife of IS 'Beatle' speaks out for first time,,2023-10-18 03:33:14
