order_var,value,url,scrape_date
1,Portuguese police apologise to Madeleine's parents,,2023-10-30 09:44:21
2,Murder at elite school horrifies Australia,,2023-10-30 09:44:21
3,Anti-Israel mob storms Dagestan airport,,2023-10-30 09:44:21
4,Magic Johnson declared a billionaire by Forbes,,2023-10-30 09:44:21
5,Friends creators pay tribute to 'brilliant' Perry,,2023-10-30 09:44:21
6,Police search for builders who buried time capsule,,2023-10-30 09:44:21
7,Beaten into a coma for taking extra food at school,,2023-10-30 09:44:21
8,Matthew Perry: Friends fame couldn't quell deep demons,,2023-10-30 09:44:21
9,Leonormania hits Spain as crown princess turns 18,,2023-10-30 09:44:21
10,Evergrande given last chance to agree debt deal,,2023-10-30 09:44:21
