order_var,value,url,scrape_date
1,"German-Israeli Shani Louk is dead, says mother",,2023-10-30 16:25:20
2,Mob storms Russian airport searching for Jews,,2023-10-30 16:25:20
3,Murder at elite school horrifies Australia,,2023-10-30 16:25:20
4,German politician held after Nazi salute complaint,,2023-10-30 16:25:20
5,Matthew Perry cause of death unknown pending tests,,2023-10-30 16:25:20
6,Portuguese police apologise to Madeleine's parents,,2023-10-30 16:25:20
7,Magic Johnson declared a billionaire by Forbes,,2023-10-30 16:25:20
8,US announces 'strongest action yet' on AI safety,,2023-10-30 16:25:20
9,Police search for builders who buried time capsule,,2023-10-30 16:25:20
10,Leonormania hits Spain as crown princess turns 18,,2023-10-30 16:25:20
