order,value,url,scrape_date
1,BBC journalists held at gunpoint by Israeli police,,2023-10-14 07:35:28
2,"'Oh god, they're here': Hamas massacre captured on Israeli mothers' WhatsApp group",,2023-10-14 07:35:28
3,Michael Caine confirms he has retired from acting,,2023-10-14 07:35:28
4,Trump-backed Jim Jordan chosen as Speaker nominee,,2023-10-14 07:35:28
5,Rosenberg: Putin ready to benefit from Israel-Gaza war,,2023-10-14 07:35:28
6,"Kenya, China and a railway to nowhere",,2023-10-14 07:35:28
7,Bank boss warns world facing 'most dangerous time',,2023-10-14 07:35:28
8,Could an Israeli ground invasion of Gaza meet its aims?,,2023-10-14 07:35:28
9,France raises security level after school attack,,2023-10-14 07:35:28
10,Treacherous ground for US politicians on Israel-Gaza,,2023-10-14 07:35:28
