order_var,value,url,scrape_date
1,A turning point in Myanmar as army suffers big losses,,2023-11-09 08:38:31
2,Thirteen-metre wave earns surfer a women's record,,2023-11-09 08:38:31
3,Four takeaways from the third Republican debate,,2023-11-09 08:38:31
4,Why lack of recall is a common strategy on the stand,,2023-11-09 08:38:31
5,Picasso masterpiece of 'golden muse' sells for £113m,,2023-11-09 08:38:31
6,Ivanka Trump testifies she can't recall loan details,,2023-11-09 08:38:31
7,'There's disgusting behaviour at my McDonald's',,2023-11-09 08:38:31
8,US and Italy arrest 16 alleged Gambino mafia members,,2023-11-09 08:38:31
9,Iran-backed Yemeni rebels shoot down US drone,,2023-11-09 08:38:31
10,Actors' union agrees tentative deal to end strike,,2023-11-09 08:38:31
