order,value,url,scrape_date
1,Polish ruling party set to lose majority - exit poll,,2023-10-16 00:42:51
2,Inside the exhausted Gazan city with a million mouths to feed,,2023-10-16 00:42:51
3,US actress Suzanne Somers dies aged 76,,2023-10-16 00:42:51
4,Iranian director Dariush Mehrjui and wife found dead,,2023-10-16 00:42:51
5,11kg of suspected cocaine found in wheelchair,,2023-10-16 00:42:51
6,Medieval 'love motto' gold ring found,,2023-10-16 00:42:51
7,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-16 00:42:51
8,South Africa beat France by one point in thriller,,2023-10-16 00:42:51
9,England stunned by Afghanistan in World Cup defeat,,2023-10-16 00:42:51
10,Ecuador chooses president during wave of violence,,2023-10-16 00:42:51
