order,value,url,scrape_date
1,US actress Piper Laurie dies at 91,,2023-10-15 13:34:03
2,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 13:34:03
3,Children among dead as convoy hit on Gaza evacuation route,,2023-10-15 13:34:03
4,Madonna's Celebration tour is a family affair,,2023-10-15 13:34:03
5,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 13:34:03
6,The volunteers giving dignity to Israel’s dead,,2023-10-15 13:34:03
7,Afghanistan hit by third earthquake in a week,,2023-10-15 13:34:03
8,Fury outpoints KSI in grudge match,,2023-10-15 13:34:03
9,"Kenya, China and a railway to nowhere",,2023-10-15 13:34:03
10,Australia rejects historic Indigenous referendum,,2023-10-15 13:34:03
