order_var,value,url,scrape_date
1,US rejects Putin claim over anti-Jewish airport mob,,2023-10-31 03:47:23
2,Friends stars 'devastated' by Matthew Perry's death,,2023-10-31 03:47:23
3,Whole family shot dead in Russia-held Ukraine town,,2023-10-31 03:47:23
4,Israeli soldier held hostage in Gaza rescued,,2023-10-31 03:47:23
5,Ice Spice and Adele dress in bold looks for Halloween,,2023-10-31 03:47:23
6,Plan to disqualify Trump from ballot goes to court,,2023-10-31 03:47:23
7,US Army warned Maine suspect should not have guns,,2023-10-31 03:47:23
8,Israeli forces advance deeper into northern Gaza,,2023-10-31 03:47:23
9,"German-Israeli Shani Louk is dead, says mother",,2023-10-31 03:47:23
10,German politician held after Nazi slogan complaint,,2023-10-31 03:47:23
