order_var,value,url,scrape_date
1,BBC goes inside Al-Shifa hospital with the Israeli army,,2023-11-16 11:34:49
2,Top general locked away evidence of SAS executions,,2023-11-16 11:34:49
3,The Crown final season fails with critics,,2023-11-16 11:34:49
4,Cameron makes first official visit to Ukraine,,2023-11-16 11:34:49
5,Iceland faces 'decades' of volcanic instability,,2023-11-16 11:34:49
6,Five things we learned from the Biden-Xi meeting,,2023-11-16 11:34:49
7,Virginia mother of child who shot teacher sentenced,,2023-11-16 11:34:49
8,Dutch election promises new era and shake-up in politics,,2023-11-16 11:34:49
9,Plane forced to return to airport after horse escapes,,2023-11-16 11:34:49
10,"Canadian killed family to scare Muslims, jury hears",,2023-11-16 11:34:49
