order,value,url,scrape_date
1,Teacher killed in France school stabbing,,2023-10-13 17:03:20
2,How would an Israeli ground assault on Gaza unfold?,,2023-10-13 17:03:20
3,Rosenberg: Putin ready to benefit from Israel-Gaza war,,2023-10-13 17:03:20
4,Father saves daughter he hadn’t seen for six years from massacre,,2023-10-13 17:03:20
5,Pro-Palestinian demo broken up after French ban,,2023-10-13 17:03:20
6,Russia to build nuclear plant in Burkina Faso,,2023-10-13 17:03:20
7,Israel targets Hamas’s labyrinth of tunnels under Gaza,,2023-10-13 17:03:20
8,Microsoft completes biggest deal in gaming history,,2023-10-13 17:03:20
9,Three ways US Republican Speaker chaos ends,,2023-10-13 17:03:20
10,Seven die after migrant vehicle crashes in Germany,,2023-10-13 17:03:20
