order_var,value,url,scrape_date
1,He had a call from Israeli intelligence. 'We have the order to bomb. You have two hours',,2023-11-08 12:39:25
2,Farmer survives crocodile attack by biting back,,2023-11-08 12:39:25
3,Rashida Tlaib censured over Israel-Gaza comments,,2023-11-08 12:39:25
4,Ohio votes to add abortion rights to constitution,,2023-11-08 12:39:25
5,Ivanka Trump is pulled back into her father's orbit,,2023-11-08 12:39:25
6,'Exceptional' autumn heat sets up 2023 for record,,2023-11-08 12:39:25
7,How WeWork’s founder flew too close to the Sun,,2023-11-08 12:39:25
8,Fears hundreds of children used in AI naked images,,2023-11-08 12:39:25
9,"Ethiopia PM eyes Red Sea port, inflaming tensions",,2023-11-08 12:39:25
10,Nitrous oxide ban in UK comes into force,,2023-11-08 12:39:25
