order,value,url,scrape_date
1,BBC journalists held at gunpoint by Israeli police,,2023-10-14 14:48:53
2,Flintoff agrees compensation over Top Gear crash,,2023-10-14 14:48:53
3,Rosenberg: Putin ready to benefit from Israel-Gaza war,,2023-10-14 14:48:53
4,"'Oh god, they're here': Hamas massacre captured on Israeli mothers' WhatsApp group",,2023-10-14 14:48:53
5,NZ set for right-wing coalition after National win,,2023-10-14 14:48:53
6,"Kenya, China and a railway to nowhere",,2023-10-14 14:48:53
7,Gaza Strip in maps: What it's like for the people that live there,,2023-10-14 14:48:53
8,Treacherous ground for US politicians on Israel-Gaza,,2023-10-14 14:48:53
9,Could an Israeli ground invasion of Gaza meet its aims?,,2023-10-14 14:48:53
10,Michael Caine confirms he has retired from acting,,2023-10-14 14:48:53
