order_var,value,url,scrape_date
1,Hezbollah chief to break silence on Israel-Gaza war,,2023-11-03 16:19:19
2,Mushroom cook tried to kill ex four times - police,,2023-11-03 16:19:19
3,Bowen: Five new realities after four weeks of Israel-Gaza war,,2023-11-03 16:19:19
4,Lisa Marie feared film would show 'predator' Elvis,,2023-11-03 16:19:19
5,Storms and floods ravage Tuscany leaving six dead,,2023-11-03 16:19:19
6,Pablo Escobar's feral hippos face cull in Colombia,,2023-11-03 16:19:19
7,Germany's migrant row deepens as illegal arrivals soar,,2023-11-03 16:19:19
8,Aerosmith's Steven Tyler accused of sexual assault,,2023-11-03 16:19:19
9,Elon Musk tells Rishi Sunak AI will put an end to work,,2023-11-03 16:19:19
10,Everyone got duped by Sam Bankman-Fried's big gamble,,2023-11-03 16:19:19
