order_var,value,url,scrape_date
1,Best celebrity Halloween costumes,,2023-11-01 08:32:31
2,Bolivia severs diplomatic ties with Israel,,2023-11-01 08:32:31
3,What China wants from Israel-Hamas war,,2023-11-01 08:32:31
4,"WeWork plans to file for bankruptcy, reports say",,2023-11-01 08:32:31
5,Channing Tatum and Zoe Kravitz engaged - US media,,2023-11-01 08:32:31
6,Cornell student held over threats to Jewish classmates,,2023-11-01 08:32:31
7,"In one blast, Khalil Khader lost all his children",,2023-11-01 08:32:31
8,Strikes on south Gaza: BBC verifies attacks in areas of ‘safety’,,2023-11-01 08:32:31
9,Kourtney Kardashian’s partner reveals baby's name,,2023-11-01 08:32:31
10,'We failed - why our dream eco-business collapsed',,2023-11-01 08:32:31
