order_var,value,url,scrape_date
1,The Crown final season splits critics,,2023-11-16 19:25:54
2,BBC goes inside Al-Shifa hospital with the Israeli army,,2023-11-16 19:25:54
3,Dog survives 10 weeks in wild beside dead owner,,2023-11-16 19:25:54
4,Santos won't seek re-election after ethics report,,2023-11-16 19:25:54
5,Russian artist gets 7 years for anti-war messages,,2023-11-16 19:25:54
6,Spain's Pedro Sánchez wins new term as PM,,2023-11-16 19:25:54
7,Five things we learned from the Biden-Xi meeting,,2023-11-16 19:25:54
8,Russian Carlsberg staff arrested after business seized,,2023-11-16 19:25:54
9,Finland to close some Russia border crossings - PM,,2023-11-16 19:25:54
10,Dutch election promises new era and shake-up in politics,,2023-11-16 19:25:54
