order_var,value,url,scrape_date
1,German hiking group reported to police as migrants,,2023-11-10 19:54:57
2,Jewish fears as German support for Israel stirs anger,,2023-11-10 19:54:57
3,Taylor Swift breaks record with Grammy nomination,,2023-11-10 19:54:57
4,Jared Leto climbs Empire State Building,,2023-11-10 19:54:57
5,Astronaut who led Apollo 8 mission dies aged 95,,2023-11-10 19:54:57
6,Biden and Xi Jinping to meet in California,,2023-11-10 19:54:57
7,First-ever images prove 'lost echidna' not extinct,,2023-11-10 19:54:57
8,Women in naked assault video ‘will not give up’,,2023-11-10 19:54:57
9,News outlets deny Israeli claims over Hamas attack,,2023-11-10 19:54:57
10,Poland's opposition signs deal and waits to govern,,2023-11-10 19:54:57
