order,value,url,scrape_date
1,"What video, pictures and other evidence tell us about Gaza hospital blast",,2023-10-18 21:35:55
2,At least 189 bodies found at US 'green' funeral home,,2023-10-18 21:35:55
3,Tributes paid to honeymoon couple killed in Uganda,,2023-10-18 21:35:55
4,Biden backs Israel's account of Gaza hospital explosion,,2023-10-18 21:35:55
5,Greta Thunberg charged following oil protest demo,,2023-10-18 21:35:55
6,Natalee Holloway suspect admits to 2005 killing,,2023-10-18 21:35:55
7,Pause for thought - Israel’s calculations before going into Gaza,,2023-10-18 21:35:55
8,Fans think 2004 Britney video references abortion,,2023-10-18 21:35:55
9,'We thought it would be safe at a Gaza hospital',,2023-10-18 21:35:55
10,MI5 head warns of 'epic scale' of Chinese espionage,,2023-10-18 21:35:55
