order_var,value,url,scrape_date
1,Antisemitic graffiti in Paris worries leaders,,2023-10-31 22:25:36
2,"Legal row over 2,800,000% mark-up for African mask",,2023-10-31 22:25:36
3,Kourtney Kardashian’s partner reveals baby's name,,2023-10-31 22:25:36
4,"Johnson said old should accept Covid fate, note suggests",,2023-10-31 22:25:36
5,What China wants from Israel-Hamas war,,2023-10-31 22:25:36
6,Anti-war protesters disrupt US Senate hearing,,2023-10-31 22:25:36
7,Friends stars 'devastated' by Matthew Perry's death,,2023-10-31 22:25:36
8,Teen taken hostage by Hamas back home in Chicago,,2023-10-31 22:25:36
9,US to remove four African countries from trade deal,,2023-10-31 22:25:36
10,"No excuse for colonial violence in Kenya, King says",,2023-10-31 22:25:36
