order,value,url,scrape_date
1,French MPs protected as antisemitism increases,,2023-10-12 17:44:55
2,Bernie Ecclestone pleads guilty to fraud,,2023-10-12 17:44:55
3,Egypt warned Israel days before Hamas struck - US,,2023-10-12 17:44:55
4,US House in limbo as Scalise scrambles for votes,,2023-10-12 17:44:55
5,John Simpson: Why BBC doesn't say Hamas militants are 'terrorists',,2023-10-12 17:44:55
6,IOC suspends Russian Olympic Committee,,2023-10-12 17:44:55
7,California player wins $1.76bn Powerball jackpot,,2023-10-12 17:44:55
8,X claims it is erasing 'illegal' Hamas content,,2023-10-12 17:44:55
9,Gaza hospitals risk turning into morgues - Red Cross,,2023-10-12 17:44:55
10,Frank Gardner: Hostage crisis is toughest Israel has ever faced,,2023-10-12 17:44:55
