order_var,value,url,scrape_date
1,Ukrainian men flee the draft in their thousands,,2023-11-17 19:12:44
2,Bowen: Ceasefire demands will grow without proof of Hamas HQ at Al-Shifa,,2023-11-17 19:12:44
3,Wayne's World star Dana Carvey's son dies aged 32,,2023-11-17 19:12:44
4,Apple to cross message divide but green bubbles stay,,2023-11-17 19:12:44
5,Russia seeks extremist label for LGBT movement,,2023-11-17 19:12:44
6,Berlin on edge for Erdogan after fierce Israel criticism,,2023-11-17 19:12:44
7,Israel finds second hostage body near hospital,,2023-11-17 19:12:44
8,Singer Cassie accuses Diddy of rape and abuse,,2023-11-17 19:12:44
9,Football fan sentenced over Bradley Lowery taunt,,2023-11-17 19:12:44
10,George Santos to face another expulsion vote,,2023-11-17 19:12:44
