order_var,value,url,scrape_date
1,Matthew Perry: Friends fame couldn't quell deep demons,,2023-10-29 20:31:39
2,Friends creators pays tribute to 'brilliant' Perry,,2023-10-29 20:31:39
3,Leonormania hits Spain as crown princess turns 18,,2023-10-29 20:31:39
4,Friends star Matthew Perry dies at 54,,2023-10-29 20:31:39
5,Ice hockey player Johnson dies after neck cut,,2023-10-29 20:31:39
6,Matthew Perry's life in pictures,,2023-10-29 20:31:39
7,Springboks bring hope to a troubled nation,,2023-10-29 20:31:39
8,Soldiers sent to devastated Acapulco amid looting,,2023-10-29 20:31:39
9,Mike Pence withdraws from 2024 US presidential race,,2023-10-29 20:31:39
10,"Israel has no plan for Gaza after war ends, experts warn",,2023-10-29 20:31:39
