order,value,url,scrape_date
1,Inside the exhausted Gazan city with a million mouths to feed,,2023-10-15 20:17:57
2,Medieval 'love motto' gold ring found,,2023-10-15 20:17:57
3,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 20:17:57
4,England stunned by Afghanistan in World Cup defeat,,2023-10-15 20:17:57
5,Ecuador chooses president during wave of violence,,2023-10-15 20:17:57
6,US actress Piper Laurie dies at 91,,2023-10-15 20:17:57
7,Afghanistan hit by third earthquake in a week,,2023-10-15 20:17:57
8,The volunteers giving dignity to Israel’s dead,,2023-10-15 20:17:57
9,Madonna's Celebration tour is a family affair,,2023-10-15 20:17:57
10,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 20:17:57
