order_var,value,url,scrape_date
1,US rejects Putin claim over anti-Jewish airport mob,,2023-10-31 05:37:38
2,Friends stars 'devastated' by Matthew Perry's death,,2023-10-31 05:37:38
3,Whole family shot dead in Russia-held Ukraine town,,2023-10-31 05:37:38
4,Public holiday in South Africa for World Cup win,,2023-10-31 05:37:38
5,Israeli soldier held hostage in Gaza rescued,,2023-10-31 05:37:38
6,Israeli forces advance deeper into northern Gaza,,2023-10-31 05:37:38
7,Plan to disqualify Trump from ballot goes to court,,2023-10-31 05:37:38
8,US Army warned Maine suspect should not have guns,,2023-10-31 05:37:38
9,"German-Israeli Shani Louk is dead, says mother",,2023-10-31 05:37:38
10,Israeli prime minister condemns Hamas hostage clip,,2023-10-31 05:37:38
