order_var,value,url,scrape_date
1,Suella Braverman sacked as home secretary,,2023-11-13 14:38:22
2,State media retract report of Russian retreat,,2023-11-13 14:38:22
3,Iceland quakes weaker but volcano warning persists,,2023-11-13 14:38:22
4,Toxic haze in Delhi after Diwali festival,,2023-11-13 14:38:22
5,Public holiday in Kenya to plant 100 million trees,,2023-11-13 14:38:22
6,Malaysian killer released by Australia,,2023-11-13 14:38:22
7,The Marvels bombs with lowest MCU box office debut,,2023-11-13 14:38:22
8,Iceland volcano: what will the impact be?,,2023-11-13 14:38:22
9,Why a South African politician touched a nerve in Kenya,,2023-11-13 14:38:22
10,US Senator Tim Scott exits presidential campaign,,2023-11-13 14:38:22
