order_var,value,url,scrape_date
1,"Sir Bobby Charlton died after fall, inquest hears",,2023-11-01 15:23:32
2,Why Indians are debating a 70-hour work week,,2023-11-01 15:23:32
3,BBC verifies attacks in Gaza 'safe' areas,,2023-11-01 15:23:32
4,UK reveals AI deal as Musk warns of extinction,,2023-11-01 15:23:32
5,"US couple fined $28,000 for child cruelty in Uganda",,2023-11-01 15:23:32
6,The best celebrity Halloween costumes,,2023-11-01 15:23:32
7,Cornell student held over threats to Jewish classmates,,2023-11-01 15:23:32
8,What China wants from Israel-Hamas war,,2023-11-01 15:23:32
9,"Perry was in a good place, Friends creator says",,2023-11-01 15:23:32
10,WeWork reported to be filing for bankruptcy,,2023-11-01 15:23:32
