order_var,value,url,scrape_date
1,Hezbollah chief to break silence on Israel-Gaza war,,2023-11-03 17:04:25
2,Lisa Marie feared film would show 'predator' Elvis,,2023-11-03 17:04:25
3,Mushroom cook tried to kill ex four times - police,,2023-11-03 17:04:25
4,Bowen: Five new realities after four weeks of Israel-Gaza war,,2023-11-03 17:04:25
5,Storms and floods ravage Tuscany leaving six dead,,2023-11-03 17:04:25
6,What is Hezbollah and will it go to war with Israel?,,2023-11-03 17:04:25
7,Pablo Escobar's feral hippos face cull in Colombia,,2023-11-03 17:04:25
8,Germany's migrant row deepens as illegal arrivals soar,,2023-11-03 17:04:25
9,Aerosmith's Steven Tyler accused of sexual assault,,2023-11-03 17:04:25
10,Elon Musk tells Rishi Sunak AI will put an end to work,,2023-11-03 17:04:25
