order_var,value,url,scrape_date
1,Xi arrives in the US as his Chinese Dream sputters,,2023-11-15 07:25:14
2,Brazil gripped by 'unbearable' heatwave,,2023-11-15 07:25:14
3,Manslaughter arrest over ice hockey player death,,2023-11-15 07:25:14
4,Pelosi hammer attack accused tearfully testifies,,2023-11-15 07:25:14
5,Buffy Sainte-Marie's 'pretendian' case strikes a nerve,,2023-11-15 07:25:14
6,John Oliver's pick wins NZ Bird of the Century poll,,2023-11-15 07:25:14
7,Jury hears man who killed Muslim family was on drugs,,2023-11-15 07:25:14
8,Murder theory in non-binary magistrate's death,,2023-11-15 07:25:14
9,US evangelicals drive Republican support for Israel,,2023-11-15 07:25:14
10,Cox and LeBlanc in new tributes to Matthew Perry,,2023-11-15 07:25:14
