order_var,value,url,scrape_date
1,US woman's dying wish erases $16m in medical debt,,2023-11-18 08:41:23
2,X ad boycott gathers pace amid antisemitism storm,,2023-11-18 08:41:23
3,Cassie settles legal case accusing Diddy of rape,,2023-11-18 08:41:23
4,AI boss Sam Altman ousted after board loses confidence,,2023-11-18 08:41:23
5,Weah congratulates Boakai after Liberia poll,,2023-11-18 08:41:23
6,Israel agrees to allow two fuel trucks a day into Gaza,,2023-11-18 08:41:23
7,Ex-First Lady Rosalynn Carter enters hospice care,,2023-11-18 08:41:23
8,Bid to bar Trump from Republican ballot rejected,,2023-11-18 08:41:23
9,How has The Crown handled Princess Diana's death?,,2023-11-18 08:41:23
10,Biden facing internal dissent over Israel's Gaza campaign,,2023-11-18 08:41:23
