order_var,value,url,scrape_date
1,Pope fires Texan bishop after criticism of reforms,,2023-11-11 18:14:53
2,Iceland declares emergency over volcano threat,,2023-11-11 18:14:53
3,Macron urges Israel to stop bombing babies in Gaza,,2023-11-11 18:14:53
4,Gucci and Moschino designer dies aged 46,,2023-11-11 18:14:53
5,Luis Díaz's father speaks for first time since kidnap,,2023-11-11 18:14:53
6,How a budget airline took off on TikTok,,2023-11-11 18:14:53
7,Missing man died trapped between two fence panels,,2023-11-11 18:14:53
8,"Kyiv hit by first air attack in 52 days, says Ukraine",,2023-11-11 18:14:53
9,Actors' deal includes pay rises and intimacy co-ordinators,,2023-11-11 18:14:53
10,Revealed: Mistakes that blocked Maui fire escape routes,,2023-11-11 18:14:53
