order,value,url,scrape_date
1,"What video, pictures and other evidence tell us about Gaza hospital blast",,2023-10-18 19:19:57
2,Biden backs Israel's account of Gaza hospital explosion,,2023-10-18 19:19:57
3,Greta Thunberg charged following oil protest demo,,2023-10-18 19:19:57
4,At least 189 bodies found at US 'green' funeral home,,2023-10-18 19:19:57
5,Tributes paid to honeymoon couple killed in Uganda,,2023-10-18 19:19:57
6,Honeymooning couple killed in Uganda park attack,,2023-10-18 19:19:57
7,House in disarray as resistance hardens to Jordan,,2023-10-18 19:19:57
8,Pause for thought - Israel’s calculations before going into Gaza,,2023-10-18 19:19:57
9,Fans think 2004 Britney video references abortion,,2023-10-18 19:19:57
10,MI5 head warns of 'epic scale' of Chinese espionage,,2023-10-18 19:19:57
