order_var,value,url,scrape_date
1,He had a call from Israeli intelligence. 'We have the order to bomb. You have two hours',,2023-11-08 14:14:38
2,Farmer survives crocodile attack by biting back,,2023-11-08 14:14:38
3,Fury in Spain at Socialists' amnesty plan for power,,2023-11-08 14:14:38
4,Rashida Tlaib censured over Israel-Gaza comments,,2023-11-08 14:14:38
5,Rich nations say Ukraine support 'will never waver',,2023-11-08 14:14:38
6,Ivanka Trump is pulled back into her father's orbit,,2023-11-08 14:14:38
7,Ohio votes to add abortion rights to constitution,,2023-11-08 14:14:38
8,How WeWork’s founder flew too close to the Sun,,2023-11-08 14:14:38
9,Vorderman leaves BBC show over social media rules,,2023-11-08 14:14:38
10,Retracing young boy's escape from Nazi pogroms,,2023-11-08 14:14:38
