order_var,value,url,scrape_date
1,'Heck of a reunion': Trump silent as Cohen dishes dirt,,2023-10-25 10:05:39
2,Arnold Schwarzenegger: I'd be a great US president,,2023-10-25 10:05:39
3,Republicans pick Mike Johnson as new Speaker nominee,,2023-10-25 10:05:39
4,YouTuber sorry for freeloading stunt in Japan,,2023-10-25 10:05:39
5,British model jailed in Peru over drug smuggling,,2023-10-25 10:05:39
6,"I went through hell, says elderly hostage released by Hamas",,2023-10-25 10:05:39
7,Big banks linked to products with pangolin parts,,2023-10-25 10:05:39
8,Pilot accused of jet crash attempt cites breakdown,,2023-10-25 10:05:39
9,Black models shun Melbourne fashion week citing racism,,2023-10-25 10:05:39
10,Republicans self-destruct again in US Speaker saga,,2023-10-25 10:05:39
