order,value,url,scrape_date
1,"Saudi prince slams Hamas, Israel and the West",,2023-10-21 16:12:05
2,Women and young voters drive Poland's right from power,,2023-10-21 16:12:05
3,West Bank Palestinians hit by surge of Israeli settler attacks,,2023-10-21 16:12:05
4,The forgotten Israeli hostages kept by Hamas for years,,2023-10-21 16:12:05
5,"Hamas frees two US hostages, a mother and daughter",,2023-10-21 16:12:05
6,Italy PM splits from partner after lewd TV remarks,,2023-10-21 16:12:05
7,Israel aims to cut Gaza ties after war with Hamas,,2023-10-21 16:12:05
8,Maryland judge shot and killed outside his home,,2023-10-21 16:12:05
9,Judge fines Donald Trump for breaking gag order,,2023-10-21 16:12:05
10,The secret hunt for lethal drugs used in US executions,,2023-10-21 16:12:05
