order_var,value,url,scrape_date
1,Jewish fears as German support for Israel stirs anger,,2023-11-10 08:33:24
2,First ever images prove 'lost echidna' not extinct,,2023-11-10 08:33:24
3,De Niro's firm ordered to pay ex-assistant $1.2m,,2023-11-10 08:33:24
4,Stars hit red carpet at Hunger Games world premiere,,2023-11-10 08:33:24
5,Home and Away star Johnny Ruffo dies aged 35,,2023-11-10 08:33:24
6,Women in naked assault video ‘will not give up’,,2023-11-10 08:33:24
7,US veteran gets world's first eye transplant,,2023-11-10 08:33:24
8,Australia offers climate refuge to Tuvalu citizens,,2023-11-10 08:33:24
9,Israel officials accuse Gaza reporters of knowing about Hamas attack,,2023-11-10 08:33:24
10,Outrage in Ghana after 300-year-old tree felled,,2023-11-10 08:33:24
