order,value,url,scrape_date
1,Polish ruling party set to lose majority - exit poll,,2023-10-16 00:27:41
2,Inside the exhausted Gazan city with a million mouths to feed,,2023-10-16 00:27:41
3,US actress Suzanne Somers dies aged 76,,2023-10-16 00:27:41
4,Iranian director Dariush Mehrjui and wife found dead,,2023-10-16 00:27:41
5,11kg of suspected cocaine found in wheelchair,,2023-10-16 00:27:41
6,Medieval 'love motto' gold ring found,,2023-10-16 00:27:41
7,South Africa beat France by one point in thriller,,2023-10-16 00:27:41
8,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-16 00:27:41
9,England stunned by Afghanistan in World Cup defeat,,2023-10-16 00:27:41
10,Ecuador chooses president during wave of violence,,2023-10-16 00:27:41
