order,value,url,scrape_date
1,"Saudi prince slams Hamas, Israel and the West",,2023-10-21 05:37:27
2,West Bank Palestinians hit by surge of settler attacks,,2023-10-21 05:37:27
3,Israel aims to cut Gaza ties after war with Hamas,,2023-10-21 05:37:27
4,Italy PM splits from partner after lewd TV remarks,,2023-10-21 05:37:27
5,Republicans back to square one as Speaker crisis deepens,,2023-10-21 05:37:27
6,Women and young voters drive Poland's right from power,,2023-10-21 05:37:27
7,Judge fines Donald Trump for breaking gag order,,2023-10-21 05:37:27
8,Czech village priest sorry for smashing pumpkins,,2023-10-21 05:37:27
9,Maryland judge shot and killed outside his home,,2023-10-21 05:37:27
10,The Pakistan army’s one-time arch-rival returns,,2023-10-21 05:37:27
