order_var,value,url,scrape_date
1,Ivanka Trump testifies she can't recall loan details,,2023-11-09 03:52:49
2,A turning point in Myanmar as army suffers big losses,,2023-11-09 03:52:49
3,Iran-backed Yemeni rebels shoot down US drone,,2023-11-09 03:52:49
4,US and Italy arrest 16 alleged Gambino mafia members,,2023-11-09 03:52:49
5,Candidates take to stage for third Republican debate,,2023-11-09 03:52:49
6,Picasso masterpiece of 'golden muse' sells for £113m,,2023-11-09 03:52:49
7,Russia hits civilian ship in Black Sea - Ukraine,,2023-11-09 03:52:49
8,He had a call from Israeli intelligence. 'We have the order to bomb. You have two hours',,2023-11-09 03:52:49
9,'There's disgusting behaviour at my McDonald's',,2023-11-09 03:52:49
10,Russian TikTok star collapses after draft notice,,2023-11-09 03:52:49
