order_var,value,url,scrape_date
1,Legal experts see uphill battle for Trump in fraud case,,2023-11-12 03:01:48
2,Iceland declares emergency over volcano threat,,2023-11-12 03:01:48
3,Pope fires Texan bishop after criticism of reforms,,2023-11-12 03:01:48
4,PM condemns violence on day of protests in London,,2023-11-12 03:01:48
5,Gaza hospital crippled as fighting rages nearby,,2023-11-12 03:01:48
6,How a budget airline took off on TikTok,,2023-11-12 03:01:48
7,Macron urges Israel to stop bombing babies in Gaza,,2023-11-12 03:01:48
8,Missing man died trapped between two fence panels,,2023-11-12 03:01:48
9,Mafia bust shows US-Italy crime links still strong,,2023-11-12 03:01:48
10,Luis Díaz's father speaks for first time since kidnap,,2023-11-12 03:01:48
