order,value,url,scrape_date
1,Australia rejects historic Indigenous referendum,,2023-10-14 17:33:57
2,Thousands march in UK pro-Palestinian protests,,2023-10-14 17:33:57
3,"'Oh god, they're here': Hamas massacre captured on Israeli mothers' WhatsApp group",,2023-10-14 17:33:57
4,Flintoff agrees compensation over Top Gear crash,,2023-10-14 17:33:57
5,BBC journalists held at gunpoint by Israeli police,,2023-10-14 17:33:57
6,"Kenya, China and a railway to nowhere",,2023-10-14 17:33:57
7,NZ set for right-wing coalition after National win,,2023-10-14 17:33:57
8,Rosenberg: Putin ready to benefit from Israel-Gaza war,,2023-10-14 17:33:57
9,Gaza Strip in maps: What it's like for the people that live there,,2023-10-14 17:33:57
10,UK's nuclear fusion site ends tests after 40 years,,2023-10-14 17:33:57
