order_var,value,url,scrape_date
1,X ad boycott gathers pace amid antisemitism storm,,2023-11-18 03:13:55
2,AI boss Sam Altman ousted after board loses confidence,,2023-11-18 03:13:55
3,Weah congratulates Boakai after Liberia poll,,2023-11-18 03:13:55
4,Bowen: Ceasefire demands will grow without proof of Hamas HQ at Al-Shifa,,2023-11-18 03:13:55
5,Ex-First Lady Rosalynn Carter enters hospice care,,2023-11-18 03:13:55
6,Biden facing internal dissent over Israel's Gaza campaign,,2023-11-18 03:13:55
7,Israel agrees to allow two fuel trucks a day into Gaza,,2023-11-18 03:13:55
8,White House criticises Musk over antisemitic lie,,2023-11-18 03:13:55
9,Bid to bar Trump from Republican ballot rejected,,2023-11-18 03:13:55
10,Israel finds second hostage body near hospital,,2023-11-18 03:13:55
