order_var,value,url,scrape_date
1,Iran says Tehran metro girl ‘brain dead’,,2023-10-23 02:58:21
2,Detroit synagogue president found murdered,,2023-10-23 02:58:21
3,Iran warns Israel to stop or region will 'go out of control',,2023-10-23 02:58:21
4,The Maldives' new leader wants Indian troops to leave,,2023-10-23 02:58:21
5,Hamilton disqualified as Verstappen wins US GP,,2023-10-23 02:58:21
6,Argentina votes in poll rocked by radical candidate,,2023-10-23 02:58:21
7,Missing UK teen murdered in Hamas attack - family,,2023-10-23 02:58:21
8,Who are the hostages taken by Hamas from Israel?,,2023-10-23 02:58:21
9,Ukrainians fear drone shortages due to China restrictions,,2023-10-23 02:58:21
10,"Eating world's hottest pepper was euphoric, says creator",,2023-10-23 02:58:21
