order_var,value,url,scrape_date
1,Why Li Keqiang's death is dangerous for Xi Jinping,,2023-10-27 16:12:16
2,"Russia executing own retreating soldiers, US says",,2023-10-27 16:12:16
3,US strikes Syria bases used by Iran-linked groups,,2023-10-27 16:12:16
4,Anger at Uganda plan to name road after slain tourists,,2023-10-27 16:12:16
5,US man charged over deadly attack at German castle,,2023-10-27 16:12:16
6,Taylor Swift fans rush to hear re-recorded 1989,,2023-10-27 16:12:16
7,Qatar sentences Indian ex-naval officers to death,,2023-10-27 16:12:16
8,Li Keqiang: Ex-Chinese premier sidelined by Xi dies,,2023-10-27 16:12:16
9,Giving birth in Gaza amid shelling and power cuts,,2023-10-27 16:12:16
10,What does new analysis tell us about Gaza hospital blast?,,2023-10-27 16:12:16
