order_var,value,url,scrape_date
1,Bowen: Ceasefire demands will grow without proof of Hamas HQ at Al-Shifa,,2023-11-17 16:21:30
2,Ukrainian men flee the draft in their thousands,,2023-11-17 16:21:30
3,Wayne's World star Dana Carvey's son dies aged 32,,2023-11-17 16:21:30
4,Berlin on edge for Erdogan after fierce Israel criticism,,2023-11-17 16:21:30
5,Singer Cassie accuses Diddy of rape and abuse,,2023-11-17 16:21:30
6,Man sentenced to life for Irish teacher's murder,,2023-11-17 16:21:30
7,Trump slams judge and clerk as gag order is paused,,2023-11-17 16:21:30
8,Rebels join forces with Sudan army in civil war,,2023-11-17 16:21:30
9,Israel finds second hostage body near hospital,,2023-11-17 16:21:30
10,Track issues cause chaos in Las Vegas GP practice,,2023-11-17 16:21:30
