order,value,url,scrape_date
1,Banker loses case over two-sandwich lunch claim,,2023-10-16 14:37:23
2,Polish right-wing party to lose majority - exit poll,,2023-10-16 14:37:23
3,Man charged with hate crimes after Muslim boy killed,,2023-10-16 14:37:23
4,Iranian director Dariush Mehrjui and wife found dead,,2023-10-16 14:37:23
5,Poland's expected political earthquake delights Brussels,,2023-10-16 14:37:23
6,Russia returns four abducted Ukrainian children,,2023-10-16 14:37:23
7,US actress Suzanne Somers dies aged 76,,2023-10-16 14:37:23
8,Daniel Noboa elected Ecuador's youngest president,,2023-10-16 14:37:23
9,Poland election earthquake: What happens next?,,2023-10-16 14:37:23
10,Israel evacuates villages near Lebanon border,,2023-10-16 14:37:23
