order_var,value,url,scrape_date
1,He had a call from Israeli intelligence. 'We have the order to bomb. You have two hours',,2023-11-08 12:29:24
2,Farmer survives crocodile attack by biting back,,2023-11-08 12:29:24
3,Rashida Tlaib censured over Israel-Gaza comments,,2023-11-08 12:29:24
4,Ohio votes to add abortion rights to constitution,,2023-11-08 12:29:24
5,Ivanka Trump is pulled back into her father's orbit,,2023-11-08 12:29:24
6,How WeWork’s founder flew too close to the Sun,,2023-11-08 12:29:24
7,'Exceptional' autumn heat sets up 2023 for record,,2023-11-08 12:29:24
8,Fears hundreds of children used in AI naked images,,2023-11-08 12:29:24
9,Original photo from iconic album cover discovered,,2023-11-08 12:29:24
10,Nitrous oxide ban in UK comes into force,,2023-11-08 12:29:24
