order_var,value,url,scrape_date
1,Macron urges Israel to stop bombing babies in Gaza,,2023-11-11 02:37:06
2,Gucci and Moschino designer dies aged 46,,2023-11-11 02:37:06
3,Taylor Swift breaks record with Grammy nomination,,2023-11-11 02:37:06
4,Ex-US senator chases man who molested her on a jog,,2023-11-11 02:37:06
5,German hiking group reported to police as migrants,,2023-11-11 02:37:06
6,Revealed: Mistakes that blocked Maui fire escape routes,,2023-11-11 02:37:06
7,Astronaut who led Apollo 8 mission dies aged 95,,2023-11-11 02:37:06
8,Two far-right terror suspects detained in Belgium,,2023-11-11 02:37:06
9,How much closer is Israel to its goal in Gaza?,,2023-11-11 02:37:06
10,Ukrainian teen who received call-up to Russian army,,2023-11-11 02:37:06
