order_var,value,url,scrape_date
1,Iceland declares emergency over volcano threat,,2023-11-11 09:33:36
2,Macron urges Israel to stop bombing babies in Gaza,,2023-11-11 09:33:36
3,Gucci and Moschino designer dies aged 46,,2023-11-11 09:33:36
4,Police brace for largest pro-Palestinian protest yet,,2023-11-11 09:33:36
5,Beatles top singles chart 60 years after first hit,,2023-11-11 09:33:36
6,Revealed: Mistakes that blocked Maui fire escape routes,,2023-11-11 09:33:36
7,How a budget airline took off on TikTok,,2023-11-11 09:33:36
8,Actors' deal includes pay rises and intimacy co-ordinators,,2023-11-11 09:33:36
9,FBI seize NYC mayor's phones in financing probe,,2023-11-11 09:33:36
10,Taylor Swift breaks record with Grammy nomination,,2023-11-11 09:33:36
