order,value,url,scrape_date
1,"What video, pictures and other evidence tell us about Gaza hospital blast",,2023-10-18 22:30:11
2,Hundreds of cats and dogs rescued from traffickers,,2023-10-18 22:30:11
3,Natalee Holloway suspect admits to 2005 killing,,2023-10-18 22:30:11
4,At least 189 bodies found at US 'green' funeral home,,2023-10-18 22:30:11
5,Tributes paid to honeymoon couple killed in Uganda,,2023-10-18 22:30:11
6,Biden backs Israel's account of Gaza hospital explosion,,2023-10-18 22:30:11
7,Fans think 2004 Britney video references abortion,,2023-10-18 22:30:11
8,MI5 head warns of 'epic scale' of Chinese espionage,,2023-10-18 22:30:11
9,Pause for thought - Israel’s calculations before going into Gaza,,2023-10-18 22:30:11
10,Inside Gaza hospital devastated after explosion,,2023-10-18 22:30:11
