order_var,value,url,scrape_date
1,Iran says Tehran metro girl ‘brain dead’,,2023-10-23 07:35:23
2,Argentina minister defies polls in first-round vote,,2023-10-23 07:35:23
3,The Maldives' new leader wants Indian troops to leave,,2023-10-23 07:35:23
4,Detroit synagogue president found murdered,,2023-10-23 07:35:23
5,Hamilton disqualified as Verstappen wins US GP,,2023-10-23 07:35:23
6,Iran warns Israel to stop or region will 'go out of control',,2023-10-23 07:35:23
7,Missing UK teen murdered in Hamas attack - family,,2023-10-23 07:35:23
8,Taiwan-based iPhone-maker Foxconn probed by China,,2023-10-23 07:35:23
9,Who are the hostages taken by Hamas from Israel?,,2023-10-23 07:35:23
10,American Jews and Palestinians face fear and hatred,,2023-10-23 07:35:23
