order_var,value,url,scrape_date
1,'Multiple victims' in New Hampshire hospital shooting,,2023-11-17 23:37:11
2,White House criticises Musk over antisemitic lie,,2023-11-17 23:37:11
3,AI boss Sam Altman ousted after board loses confidence,,2023-11-17 23:37:11
4,Ex-First Lady Rosalynn Carter enters hospice care,,2023-11-17 23:37:11
5,Bowen: Ceasefire demands will grow without proof of Hamas HQ at Al-Shifa,,2023-11-17 23:37:11
6,Biden facing internal dissent over Israel's Gaza campaign,,2023-11-17 23:37:11
7,Israel finds second hostage body near hospital,,2023-11-17 23:37:11
8,Apple to cross message divide but green bubbles stay,,2023-11-17 23:37:11
9,NFL host apologises for saying she made up reports,,2023-11-17 23:37:11
10,Ukraine gains riverbank foothold but front lines barely move,,2023-11-17 23:37:11
