order,value,url,scrape_date
1,Father saves daughter he hadn’t seen for six years from massacre,,2023-10-13 11:53:45
2,Israel targets Hamas’s labyrinth of tunnels under Gaza,,2023-10-13 11:53:45
3,Microsoft cleared for biggest ever gaming deal,,2023-10-13 11:53:45
4,Three ways US Republican Speaker chaos ends,,2023-10-13 11:53:45
5,Pro-Palestinian demo broken up after French ban,,2023-10-13 11:53:45
6,Seven dead after migrant vehicle crashes in Germany,,2023-10-13 11:53:45
7,Israel Gaza war: History of the conflict explained,,2023-10-13 11:53:45
8,Journalist fined for insulting Italian PM,,2023-10-13 11:53:45
9,Air Canada sued over $20m gold and cash heist,,2023-10-13 11:53:45
10,Pakistan reporter who left India sorry for old posts,,2023-10-13 11:53:45
