order,value,url,scrape_date
1,Teacher killed in France school stabbing,,2023-10-13 16:32:15
2,Father saves daughter he hadn’t seen for six years from massacre,,2023-10-13 16:32:15
3,How would an Israeli ground assault on Gaza unfold?,,2023-10-13 16:32:15
4,Rosenberg: Putin ready to benefit from Israel-Gaza war,,2023-10-13 16:32:15
5,Russia to build nuclear plant in Burkina Faso,,2023-10-13 16:32:15
6,Pro-Palestinian demo broken up after French ban,,2023-10-13 16:32:15
7,Israel targets Hamas’s labyrinth of tunnels under Gaza,,2023-10-13 16:32:15
8,Three ways US Republican Speaker chaos ends,,2023-10-13 16:32:15
9,Seven die after migrant vehicle crashes in Germany,,2023-10-13 16:32:15
10,Microsoft completes biggest deal in gaming history,,2023-10-13 16:32:15
