order_var,value,url,scrape_date
1,Friends star Matthew Perry dies at 54,,2023-10-29 07:34:49
2,Leonormania hits Spain as crown princess turns 18,,2023-10-29 07:34:49
3,Matthew Perry's life in pictures,,2023-10-29 07:34:49
4,Mike Pence withdraws from 2024 US presidential race,,2023-10-29 07:34:49
5,South Africa edge out New Zealand in epic final,,2023-10-29 07:34:49
6,60-year search for our grandfathers' skulls led us to German museum,,2023-10-29 07:34:49
7,Thousands at pro-Palestinian protest in London,,2023-10-29 07:34:49
8,Israel recalls diplomats from Turkey in Gaza row,,2023-10-29 07:34:49
9,"Israel has no plan for Gaza after war ends, experts warn",,2023-10-29 07:34:49
10,10 of the best moments from the Friends reunion,,2023-10-29 07:34:49
