order,value,url,scrape_date
1,Israel targets Hamas’s labyrinth of tunnels under Gaza,,2023-10-13 10:36:36
2,Call of Duty maker to be bought by Microsoft,,2023-10-13 10:36:36
3,Three ways US Republican Speaker chaos ends,,2023-10-13 10:36:36
4,Pro-Palestinian demo broken up after French ban,,2023-10-13 10:36:36
5,Journalist fined for insulting Italian PM,,2023-10-13 10:36:36
6,Air Canada sued over $20m gold and cash heist,,2023-10-13 10:36:36
7,'Dad. They shot me. Help': Surviving the Kfar Aza massacre,,2023-10-13 10:36:36
8,Ex-tax worker admits leaking Trump income records,,2023-10-13 10:36:36
9,Colorado officer found guilty in Elijah McClain death,,2023-10-13 10:36:36
10,Israel Gaza war: History of the conflict explained,,2023-10-13 10:36:36
