order_var,value,url,scrape_date
1,'Heck of a reunion': Trump silent as Cohen dishes dirt,,2023-10-25 10:30:43
2,Arnold Schwarzenegger: I'd be a great US president,,2023-10-25 10:30:43
3,YouTuber sorry for freeloading stunt in Japan,,2023-10-25 10:30:43
4,Republicans pick Mike Johnson as new Speaker nominee,,2023-10-25 10:30:43
5,British model jailed in Peru over drug smuggling,,2023-10-25 10:30:43
6,Big banks linked to products with pangolin parts,,2023-10-25 10:30:43
7,Pilot accused of jet crash attempt cites breakdown,,2023-10-25 10:30:43
8,"I went through hell, says elderly hostage released by Hamas",,2023-10-25 10:30:43
9,Republicans self-destruct again in US Speaker saga,,2023-10-25 10:30:43
10,Japan top court strikes down trans sterilisation law,,2023-10-25 10:30:43
