order_var,value,url,scrape_date
1,Iran says Tehran metro girl ‘brain dead’,,2023-10-22 22:40:06
2,Detroit synagogue president found murdered,,2023-10-22 22:40:06
3,Iran warns Israel to stop or region will 'go out of control',,2023-10-22 22:40:06
4,Missing UK teen murdered in Hamas attack - family,,2023-10-22 22:40:06
5,Steely gaze of endangered tigress tops mangrove photo awards,,2023-10-22 22:40:06
6,Who are the hostages taken by Hamas from Israel?,,2023-10-22 22:40:06
7,Argentina votes in poll rocked by radical candidate,,2023-10-22 22:40:06
8,"Eating world's hottest pepper was euphoric, says creator",,2023-10-22 22:40:06
9,Why Indonesia can’t stop crocodile attacks,,2023-10-22 22:40:06
10,Dead and wounded strain Gaza hospitals as air strikes intensify,,2023-10-22 22:40:06
